part,outof,n_pos,n_neg,actual_p,actual_ctx,Baseline_p,Baseline_ctx,Baseline_acc,Baseline_cacc,Baseline_qnt_cc,Baseline_qnt_acc,Baseline2_p,Baseline2_ctx,Baseline2_acc,Baseline2_cacc,Baseline2_qnt_cc,Baseline2_qnt_acc,Topline_p,Topline_ctx,Topline_acc,Topline_cacc,Topline_qnt_cc,Topline_qnt_acc,Topline2_p,Topline2_ctx,Topline2_acc,Topline2_cacc,Topline2_qnt_cc,Topline2_qnt_acc,Single_p,Single_ctx,Single_acc,Single_cacc,Single_qnt_cc,Single_qnt_acc,Crossed_p,Crossed_ctx,Crossed_acc,Crossed_cacc,Crossed_qnt_cc,Crossed_qnt_acc,SingleKS_p,SingleKS_ctx,SingleKS_acc,SingleKS_cacc,SingleKS_qnt_cc,SingleKS_qnt_acc
0,100,0,100,0.000,2,0.088,0,0.650,0.910,0.35,0,0.000,2,0.690,1.000,0.31,0,0.000,2,0.690,1.000,0.31,0,0.000,-1,0.690,1.000,0.31,0,0.687,1,0.390,0.310,0.61,0.653125,0.687,1,0.390,0.310,0.61,0.653125,0.687,1,0.390,0.310,0.61,0.653125
0,100,0,100,0.000,1,0.000,0,0.660,1.000,0.34,0,0.000,2,0.820,1.000,0.18,0,0.000,1,0.580,1.000,0.42,0,0.000,-1,0.620,1.000,0.38,0,0.000,1,0.580,1.000,0.42,0,0.000,1,0.580,1.000,0.42,0,0.000,1,0.580,1.000,0.42,0
0,100,0,100,0.000,2,0.000,0,0.610,1.000,0.39,0,0.634,1,0.350,0.370,0.65,0.890625,0.000,2,0.650,1.000,0.35,0,0.000,-1,0.660,1.000,0.34,0,0.634,1,0.350,0.370,0.65,0.890625,0.634,1,0.350,0.370,0.65,0.890625,0.634,1,0.350,0.370,0.65,0.890625
1,100,1,99,0.010,1,0.000,0,0.660,0.990,0.33,0,0.000,2,0.790,0.990,0.2,0,0.000,1,0.600,0.990,0.41,0,0.100,-1,0.630,0.890,0.36,0,0.000,1,0.600,0.990,0.41,0,0.000,1,0.600,0.990,0.41,0,0.000,1,0.600,0.990,0.41,0
1,100,1,99,0.010,2,0.248,0,0.560,0.760,0.45,0.043427230046948,0.886,1,0.340,0.120,0.67,1,0.003,2,0.660,0.990,0.35,0,0.000,-1,0.660,0.990,0.35,0,0.886,1,0.340,0.120,0.67,1,0.886,1,0.340,0.120,0.67,1,0.886,1,0.340,0.120,0.67,1
1,100,1,99,0.010,1,0.000,0,0.650,0.990,0.34,0,0.000,2,0.830,0.990,0.18,0,0.000,1,0.590,0.990,0.4,0,0.000,-1,0.610,0.990,0.38,0,0.000,1,0.590,0.990,0.4,0,0.000,1,0.590,0.990,0.4,0,0.000,1,0.590,0.990,0.4,0
1,100,1,99,0.010,2,0.254,0,0.580,0.760,0.43,0,0.844,1,0.330,0.170,0.68,1,0.045,2,0.640,0.950,0.37,0,0.000,-1,0.640,0.990,0.37,0,0.045,2,0.640,0.950,0.37,0,0.045,2,0.640,0.950,0.37,0,0.844,1,0.330,0.170,0.68,1
1,100,1,99,0.010,1,0.000,0,0.660,0.990,0.35,0,0.000,1,0.590,0.990,0.42,0,0.000,1,0.590,0.990,0.42,0,0.039,-1,0.640,0.970,0.37,0,0.000,1,0.590,0.990,0.42,0,0.000,1,0.590,0.990,0.42,0,0.000,1,0.590,0.990,0.42,0
1,100,1,99,0.010,2,0.126,0,0.610,0.860,0.38,0,0.061,2,0.640,0.930,0.35,0,0.061,2,0.640,0.930,0.35,0,0.000,-1,0.630,0.990,0.36,0,0.061,2,0.640,0.930,0.35,0,0.617,1,0.330,0.390,0.68,1,0.617,1,0.330,0.390,0.68,1
1,100,1,99,0.010,1,0.000,0,0.640,0.990,0.35,0,0.000,2,0.840,0.990,0.17,0,0.000,1,0.600,0.990,0.39,0,0.079,-1,0.620,0.910,0.37,0,0.000,1,0.600,0.990,0.39,0,0.000,1,0.600,0.990,0.39,0,0.000,1,0.600,0.990,0.39,0
1,100,1,99,0.010,2,0.209,0,0.580,0.780,0.43,0,0.088,2,0.640,0.900,0.37,0,0.088,2,0.640,0.900,0.37,0,0.000,-1,0.620,0.990,0.39,0,0.908,1,0.340,0.100,0.65,0.890625,0.908,1,0.340,0.100,0.65,0.890625,0.908,1,0.340,0.100,0.65,0.890625
